MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
C10R20JSJDE16GC05,1121110020016KDEP0,3000,FREE
C10R20JSJDE16GC10,1121110020016KDEP0,3000,FREE
C10R20JSJDE16GC13,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR06,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR10,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR15,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM05,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM13,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM23,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM25,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM27,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM29,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM32,1121110020016KDEP0,3000,FREE
C11R20JDCXDGC14,1121111020016KCXD0,3000,FREE
C10R20JS12116HM02,"1121129A20152J1211, 1121129A20152JDLF0",3000,FREE
C21560R17UXRTLGC05,1325221417096HURL0,3000,FREE
C10R20JSJDCXDHM12,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM15,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM11,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM13,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM14,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM16,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JW30216HM01,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
C10R20JW30216HM02,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
R000011R20JUC3HM09,1123111020016KJC30,3000,FREE
R000011R20JUC3HM10,1123111020016KJC30,3000,FREE
R0011R20JDCXDHMI05,1121111020016KCXD0,3000,FREE
R0011R20JDCXDHMI06,1121111020016KCXD0,3000,FREE
C29580R225JUMGC03,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C155R13ULIXPC1GC01,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C10R20JW30216HM03,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
C21560R17UXRTLHM32,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM35,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM31,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM33,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM34,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM36,1325221417096HURL0,3000,FREE
C155R13ULTXPC1HM04,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM05,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM06,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM07,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM08,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM09,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM10,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM11,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM12,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM13,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM14,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM15,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM16,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
