Date,Machine,SKUCode,StartTime,EndTime,Qty,factor,Actual_Qty
2026-05-31,14801,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,14801,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,14801,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,14802,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,14802,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,14802,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:10:00,39,-0.04315484017881899,37
2026-05-31,14804,1325219316087VUTR0,2026-05-31 07:00:00,2026-05-31 15:00:00,56,0.010327009247120982,57
2026-05-31,14804,1325219316087VUTR0,2026-05-31 15:00:00,2026-05-31 23:00:00,56,0.010327009247120982,57
2026-05-31,14804,1325219316087VUTR0,2026-05-31 23:00:00,2026-06-01 02:16:00,23,0.010327009247120982,23
2026-05-31,14805,1325217514082TUTR0,2026-05-31 07:00:00,2026-05-31 08:59:00,14,-0.03631529208223889,13
2026-05-31,14806,1325216814085STMX0,2026-05-31 07:00:00,2026-05-31 08:04:00,8,-0.023991975411554692,8
2026-05-31,14807,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,14807,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,14807,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,14809,1325216814085SUTR0,2026-05-31 07:00:00,2026-05-31 15:00:00,56,-0.03678145056670527,54
2026-05-31,14809,1325216814085SUTR0,2026-05-31 15:00:00,2026-05-31 18:37:00,26,-0.03678145056670527,25
2026-05-31,14811,1325220416092VURL0,2026-05-31 07:00:00,2026-05-31 15:00:00,53,-0.005042330700240451,53
2026-05-31,14811,1325220416092VURL0,2026-05-31 15:00:00,2026-05-31 23:00:00,53,-0.005042330700240451,53
2026-05-31,14811,1325220416092VURL0,2026-05-31 23:00:00,2026-06-01 07:00:00,53,-0.005042330700240451,53
2026-05-31,14812,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,14812,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,14812,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15202,1325220516095HUTR0,2026-05-31 07:00:00,2026-05-31 15:00:00,51,0.01880910200751349,52
2026-05-31,15202,1325220516095HUTR0,2026-05-31 15:00:00,2026-05-31 23:00:00,51,0.01880910200751349,52
2026-05-31,15202,1325220516095HUTR0,2026-05-31 23:00:00,2026-05-31 23:09:00,1,0.01880910200751349,1
2026-05-31,15203,1325217514082TUTR0,2026-05-31 07:00:00,2026-05-31 08:59:00,14,-0.03631529208223889,13
2026-05-31,15204,1325217514082TUTR0,2026-05-31 07:00:00,2026-05-31 08:42:00,12,-0.03631529208223889,12
2026-05-31,15205,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15205,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15205,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15206,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15206,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15206,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15207,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15207,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15207,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15209,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15209,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15209,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15210,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15210,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15210,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15211,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15211,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15211,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15212,1D25215013008SXC11,2026-05-31 07:00:00,2026-05-31 15:00:00,51,-0.04315484017881899,49
2026-05-31,15212,1D25215013008SXC11,2026-05-31 15:00:00,2026-05-31 23:00:00,51,-0.04315484017881899,49
2026-05-31,15212,1D25215013008SXC11,2026-05-31 23:00:00,2026-06-01 05:29:00,41,-0.04315484017881899,39
2026-05-31,15213,1325220516095HUTR0,2026-05-31 07:00:00,2026-05-31 15:00:00,51,0.01880910200751349,52
2026-05-31,15213,1325220516095HUTR0,2026-05-31 15:00:00,2026-05-31 23:00:00,51,0.01880910200751349,52
2026-05-31,15213,1325220516095HUTR0,2026-05-31 23:00:00,2026-05-31 23:09:00,1,0.01880910200751349,1
2026-05-31,24801,1325121715100SRXT0,2026-05-31 07:00:00,2026-05-31 07:20:00,2,-0.03544013484040776,2
