Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
15213,44640,44631.0,9.0,99.98,1.0,0.0,4742.0
24823,44640,44625.0,15.0,99.97,1.0,0.0,5207.0
4411,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
15204,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
9407,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
15212,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
8601,44640,44335.0,305.0,99.32,2.0,1379.0,3751.0
4901,44640,44335.0,305.0,99.32,2.0,1379.0,3751.0
4910,44640,44336.0,304.0,99.32,2.0,2028.0,5042.0
15203,44640,44333.0,307.0,99.31,2.0,1421.0,5364.0
15211,44640,44333.0,307.0,99.31,2.0,1421.0,5364.0
9203,44640,44331.0,309.0,99.31,2.0,1267.0,5331.0
4414,44640,44326.0,314.0,99.3,2.0,1930.0,4853.0
4406,44640,44329.0,311.0,99.3,2.0,324.0,4635.0
4408,44640,44322.0,318.0,99.29,2.0,1263.0,3330.0
4407,44640,44320.0,320.0,99.28,2.0,115.0,3111.0
8603,44640,44313.0,327.0,99.27,2.0,321.0,2890.0
9503,44640,44213.0,427.0,99.04,2.0,1073.0,5428.0
15206,44640,44208.0,432.0,99.03,2.0,1278.0,4757.0
9408,44640,44203.0,437.0,99.02,2.0,318.0,4623.0
75207,44640,44024.0,616.0,98.62,3.0,494.0,4566.0
9406,44640,43920.0,720.0,98.39,3.0,1539.0,5856.0
9401,44640,43876.0,764.0,98.29,2.0,965.0,2893.0
9002,44640,43876.0,764.0,98.29,2.0,1930.0,4793.0
4921,44640,42356.0,2284.0,94.88,2.0,30.0,2939.0
4802,44640,42043.0,2597.0,94.18,2.0,251.0,4489.0
9409,44640,41881.0,2759.0,93.82,3.0,177.0,4341.0
4413,44640,41726.0,2914.0,93.47,2.0,850.0,2693.0
14811,44640,40120.0,4520.0,89.87,1.0,0.0,4012.0
75210,44640,40120.0,4520.0,89.87,1.0,0.0,4012.0
75229,44640,39644.0,4996.0,88.81,1.0,0.0,4625.0
75213,44640,39466.0,5174.0,88.41,2.0,1437.0,4574.0
75224,44640,38366.0,6274.0,85.95,3.0,1548.0,4796.0
9402,44640,37911.0,6729.0,84.93,3.0,524.0,3826.0
9411,44640,37506.0,7134.0,84.02,1.0,0.0,3985.0
14806,44640,35233.0,9407.0,78.93,2.0,1.0,4404.0
9804,44640,35216.0,9424.0,78.89,1.0,0.0,4402.0
9802,44640,35216.0,9424.0,78.89,1.0,0.0,4402.0
24824,44640,35105.0,9535.0,78.64,1.0,0.0,4097.0
14802,44640,33960.0,10680.0,76.08,2.0,10.0,4512.0
8602,44640,33720.0,10920.0,75.54,1.0,0.0,2248.0
4908,44640,33720.0,10920.0,75.54,1.0,0.0,2248.0
9202,44640,33720.0,10920.0,75.54,1.0,0.0,2248.0
8701,44640,33720.0,10920.0,75.54,1.0,0.0,2248.0
24808,44640,32192.0,12448.0,72.11,1.0,0.0,4024.0
24818,44640,32192.0,12448.0,72.11,1.0,0.0,4024.0
75220,44640,31222.0,13418.0,69.94,2.0,148.0,3680.0
54804,44640,31008.0,13632.0,69.46,1.0,0.0,3876.0
54803,44640,31008.0,13632.0,69.46,1.0,0.0,3876.0
75230,44640,31008.0,13632.0,69.46,1.0,0.0,3876.0
24805,44640,28830.0,15810.0,64.58,2.0,438.0,3552.0
15208,44640,28749.0,15891.0,64.4,2.0,141.0,2258.0
4906,44640,28567.0,16073.0,63.99,2.0,1425.0,3345.0
75222,44640,28244.0,16396.0,63.27,2.0,9.0,2828.0
4415,44640,28118.0,16522.0,62.99,1.0,0.0,3281.0
4404,44640,28118.0,16522.0,62.99,1.0,0.0,3281.0
9502,44640,28118.0,16522.0,62.99,1.0,0.0,3281.0
4409,44640,28118.0,16522.0,62.99,1.0,0.0,3281.0
4401,44640,28101.0,16539.0,62.95,1.0,0.0,3279.0
75212,44640,28100.0,16540.0,62.95,1.0,0.0,2810.0
75223,44640,28100.0,16540.0,62.95,1.0,0.0,2810.0
75216,44640,28100.0,16540.0,62.95,1.0,0.0,2810.0
75201,44640,27999.0,16641.0,62.72,2.0,847.0,3394.0
9404,44640,27404.0,17236.0,61.39,1.0,0.0,1770.0
24806,44640,27039.0,17601.0,60.57,2.0,1.0,3380.0
54801,44640,27008.0,17632.0,60.5,1.0,0.0,3376.0
4902,44640,26746.0,17894.0,59.91,2.0,379.0,1751.0
14810,44640,26352.0,18288.0,59.03,1.0,0.0,1976.0
75227,44640,26352.0,18288.0,59.03,1.0,0.0,1976.0
14808,44640,26352.0,18288.0,59.03,1.0,0.0,1975.0
75226,44640,26325.0,18315.0,58.97,1.0,0.0,1974.0
24803,44640,25806.0,18834.0,57.81,2.0,146.0,3244.0
4416,44640,25450.0,19190.0,57.01,2.0,537.0,1569.0
9410,44640,25326.0,19314.0,56.73,1.0,0.0,2797.0
9505,44640,25326.0,19314.0,56.73,1.0,0.0,2797.0
9506,44640,25326.0,19314.0,56.73,1.0,0.0,2797.0
9507,44640,25308.0,19332.0,56.69,1.0,0.0,2795.0
9412,44640,24946.0,19694.0,55.88,2.0,638.0,2269.0
14803,44640,23616.0,21024.0,52.9,1.0,0.0,2952.0
24804,44640,23616.0,21024.0,52.9,1.0,0.0,2952.0
15202,44640,23220.0,21420.0,52.02,1.0,0.0,2322.0
24807,44640,23185.0,21455.0,51.94,2.0,635.0,2922.0
14805,44640,21168.0,23472.0,47.42,2.0,46.0,2293.0
9405,44640,20835.0,23805.0,46.67,1.0,0.0,2778.0
9504,44640,20820.0,23820.0,46.64,1.0,0.0,2776.0
75205,44640,20396.0,24244.0,45.69,2.0,564.0,1492.0
24814,44640,20176.0,24464.0,45.2,1.0,0.0,2522.0
14807,44640,20144.0,24496.0,45.13,1.0,0.0,2518.0
14813,44640,20102.0,24538.0,45.03,2.0,2.0,2680.0
75221,44640,20026.0,24614.0,44.86,1.0,0.0,2127.0
75214,44640,20026.0,24614.0,44.86,1.0,0.0,2127.0
24821,44640,20000.0,24640.0,44.8,1.0,0.0,2500.0
24812,44640,19926.0,24714.0,44.64,1.0,0.0,2200.0
15210,44640,19926.0,24714.0,44.64,1.0,0.0,2201.0
75208,44640,19926.0,24714.0,44.64,1.0,0.0,2200.0
4405,44640,19838.0,24802.0,44.44,2.0,214.0,1556.0
75228,44640,19490.0,25150.0,43.66,2.0,6.0,1952.0
