SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325217514082HURL2,5.0,12057,0,12026,31,99.7,PARTIAL,15,82,2.03,
1225170015012LSTL0,4.078871642589944,26777,395,26805,0,100.1,FULLY MET,31,71,9.3,
1325214813075SUNE1,4.076458013340683,23118,227,23118,0,100.0,FULLY MET,15,86,3.88,
1D25213812090FXPC0,4.042841333396347,19846,255,19685,161,99.2,PARTIAL,17,43,3.78,
1D25212812086FXPC0,4.039142405888011,19744,332,19933,0,101.0,FULLY MET,19,37,4.2,
1D25212812074FXC10,4.03291929537957,14067,331,13983,84,99.4,PARTIAL,18,43,2.84,
1325219416089HRHE0,4.024217682057079,10081,0,10084,0,100.0,FULLY MET,16,82,1.81,
1225221715115SSTL0,4.023683107682023,11235,158,11240,0,100.0,FULLY MET,30,71,3.78,
1225223516121PSKP0,4.021375037406819,9757,153,9877,0,101.2,FULLY MET,27,56,2.95,
1D25215Z13008QXPC0,4.015487567769747,8022,0,8024,0,100.0,FULLY MET,20,119,1.8,
1325119815106QBRQ0,4.011821348565372,3758,70,4510,0,120.0,FULLY MET,29,71,1.22,
1225170015010LSTL0,4.009167960591903,3260,113,3265,0,100.2,FULLY MET,31,71,1.13,
1325213615099MSXT0,4.008926854107322,3153,0,3154,0,100.0,FULLY MET,16,75,0.57,
1325213612065SULX1,4.003150575235382,60,131,60,0,100.0,FULLY MET,16,75,0.01,
1225121716010SXC10,4.0027959361545085,1888,0,1888,0,100.0,FULLY MET,15,56,0.32,
1225221716010SXC10,4.001815515513641,21,0,22,0,104.8,FULLY MET,15,56,0.0,
1325218515088HTMX0,3.031926253728012,10199,136,10200,0,100.0,FULLY MET,16,82,1.83,
1325215813079STMX0,3.021286701643309,8853,15,8856,0,100.0,FULLY MET,16,129,1.59,
1325221416095VURL0,3.0207554720511554,2177,51,2182,0,100.2,FULLY MET,16,108,0.39,
1325223517104HRHT0,3.010949287449822,4215,38,4254,0,100.9,FULLY MET,19,82,0.9,
1325216814085TURL0,3.0094373252748725,4492,0,4492,0,100.0,FULLY MET,15,119,0.75,
1325216514079TTMX0,3.0075578818564437,3411,0,3384,27,99.2,PARTIAL,17,82,0.65,
1325218614088HURL0,3.00478888503263,1588,0,1575,13,99.2,PARTIAL,17,125,0.3,
1325226517112HRHT0,3.004422693011223,3161,0,3162,0,100.0,FULLY MET,17,43,0.6,
