Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
15213,44640,44631.0,9.0,99.98,1.0,0.0,4742.0
24823,44640,44625.0,15.0,99.97,1.0,0.0,5207.0
9407,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
4411,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
24809,44640,44339.0,301.0,99.33,2.0,2392.0,5274.0
9404,44640,44339.0,301.0,99.33,2.0,1222.0,4124.0
24818,44640,44340.0,300.0,99.33,2.0,754.0,5354.0
4908,44640,44340.0,300.0,99.33,2.0,802.0,3758.0
4404,44640,44334.0,306.0,99.31,2.0,1174.0,5466.0
8606,44640,44326.0,314.0,99.3,2.0,1445.0,3793.0
4922,44640,44326.0,314.0,99.3,2.0,1445.0,3793.0
4410,44640,44311.0,329.0,99.26,2.0,1011.0,2925.0
15212,44640,44220.0,420.0,99.06,2.0,30.0,5896.0
9406,44640,44220.0,420.0,99.06,2.0,1653.0,5896.0
9408,44640,44218.0,422.0,99.05,2.0,545.0,4919.0
9502,44640,44212.0,428.0,99.04,2.0,1093.0,5305.0
4415,44640,44200.0,440.0,99.01,2.0,514.0,4147.0
9405,44640,44040.0,600.0,98.66,3.0,1576.0,5742.0
4907,44640,43921.0,719.0,98.39,2.0,1011.0,2899.0
15204,44640,43785.0,855.0,98.08,1.0,0.0,5838.0
4413,44640,43621.0,1019.0,97.72,3.0,1506.0,3861.0
4918,44640,43615.0,1025.0,97.7,3.0,992.0,2831.0
4909,44640,43441.0,1199.0,97.31,2.0,2023.0,4831.0
75229,44640,43220.0,1420.0,96.82,2.0,278.0,5015.0
4921,44640,40455.0,4185.0,90.62,1.0,0.0,2781.0
4407,44640,40455.0,4185.0,90.62,1.0,0.0,2781.0
9401,44640,40331.0,4309.0,90.35,2.0,850.0,2603.0
15209,44640,39576.0,5064.0,88.66,2.0,766.0,4630.0
75210,44640,38700.0,5940.0,86.69,1.0,0.0,3870.0
14811,44640,38700.0,5940.0,86.69,1.0,0.0,3870.0
24807,44640,37827.0,6813.0,84.74,2.0,1413.0,4290.0
9409,44640,37285.0,7355.0,83.52,2.0,46.0,3922.0
14810,44640,36855.0,7785.0,82.56,2.0,666.0,3197.0
4406,44640,36058.0,8582.0,80.78,2.0,1.0,3832.0
4802,44640,36043.0,8597.0,80.74,1.0,0.0,3830.0
9411,44640,36041.0,8599.0,80.74,2.0,1.0,3830.0
75207,44640,34400.0,10240.0,77.06,1.0,0.0,3440.0
9802,44640,33824.0,10816.0,75.77,1.0,0.0,4228.0
9804,44640,33824.0,10816.0,75.77,1.0,0.0,4228.0
14806,44640,33824.0,10816.0,75.77,1.0,0.0,4228.0
24824,44640,33677.0,10963.0,75.44,1.0,0.0,3929.0
8602,44640,32310.0,12330.0,72.38,1.0,0.0,2154.0
8603,44640,32310.0,12330.0,72.38,1.0,0.0,2154.0
9202,44640,32310.0,12330.0,72.38,1.0,0.0,2154.0
8701,44640,32310.0,12330.0,72.38,1.0,0.0,2154.0
14802,44640,32235.0,12405.0,72.21,1.0,0.0,4298.0
14803,44640,30936.0,13704.0,69.3,2.0,438.0,3648.0
24808,44640,30768.0,13872.0,68.92,1.0,0.0,3846.0
54804,44640,29552.0,15088.0,66.2,1.0,0.0,3694.0
54803,44640,29552.0,15088.0,66.2,1.0,0.0,3694.0
75230,44640,29536.0,15104.0,66.16,1.0,0.0,3692.0
15205,44640,28464.0,16176.0,63.76,2.0,564.0,2592.0
15208,44640,28291.0,16349.0,63.38,2.0,214.0,2292.0
8601,44640,27925.0,16715.0,62.56,2.0,664.0,2231.0
9402,44640,27660.0,16980.0,61.96,2.0,549.0,3688.0
75220,44640,27625.0,17015.0,61.88,1.0,0.0,3223.0
9412,44640,27181.0,17459.0,60.89,2.0,880.0,2663.0
75222,44640,26764.0,17876.0,59.96,2.0,9.0,2680.0
4409,44640,26724.0,17916.0,59.87,1.0,0.0,3119.0
9503,44640,26724.0,17916.0,59.87,1.0,0.0,3119.0
4401,44640,26707.0,17933.0,59.83,1.0,0.0,3116.0
75212,44640,26620.0,18020.0,59.63,1.0,0.0,2662.0
75223,44640,26620.0,18020.0,59.63,1.0,0.0,2662.0
75216,44640,26620.0,18020.0,59.63,1.0,0.0,2662.0
24806,44640,25632.0,19008.0,57.42,1.0,0.0,3204.0
54801,44640,25616.0,19024.0,57.38,1.0,0.0,3202.0
75221,44640,25491.0,19149.0,57.1,2.0,433.0,2838.0
75227,44640,24867.0,19773.0,55.71,1.0,0.0,1865.0
14808,44640,24867.0,19773.0,55.71,1.0,0.0,1865.0
75226,44640,24828.0,19812.0,55.62,2.0,1.0,1863.0
9506,44640,23904.0,20736.0,53.55,1.0,0.0,2640.0
9203,44640,23904.0,20736.0,53.55,1.0,0.0,2640.0
9410,44640,23904.0,20736.0,53.55,1.0,0.0,2640.0
9505,44640,23904.0,20736.0,53.55,1.0,0.0,2640.0
9507,44640,23868.0,20772.0,53.47,1.0,0.0,2636.0
24802,44640,22180.0,22460.0,49.69,2.0,700.0,2864.0
24804,44640,22176.0,22464.0,49.68,1.0,0.0,2772.0
24803,44640,22176.0,22464.0,49.68,1.0,0.0,2772.0
15202,44640,22050.0,22590.0,49.4,2.0,10.0,2198.0
4405,44640,19540.0,25100.0,43.77,2.0,251.0,1535.0
9504,44640,19410.0,25230.0,43.48,1.0,0.0,2588.0
14807,44640,18720.0,25920.0,41.94,2.0,2.0,2340.0
24814,44640,18704.0,25936.0,41.9,1.0,0.0,2338.0
15211,44640,18704.0,25936.0,41.9,1.0,0.0,2338.0
15203,44640,18704.0,25936.0,41.9,1.0,0.0,2338.0
14813,44640,18615.0,26025.0,41.7,1.0,0.0,2482.0
24805,44640,18615.0,26025.0,41.7,1.0,0.0,2482.0
24821,44640,18592.0,26048.0,41.65,1.0,0.0,2324.0
75214,44640,18582.0,26058.0,41.63,1.0,0.0,1974.0
75208,44640,18486.0,26154.0,41.41,1.0,0.0,2041.0
24812,44640,18486.0,26154.0,41.41,1.0,0.0,2041.0
15206,44640,18486.0,26154.0,41.41,1.0,0.0,2042.0
15210,44640,18486.0,26154.0,41.41,1.0,0.0,2042.0
14805,44640,18486.0,26154.0,41.41,1.0,0.0,2042.0
75228,44640,18020.0,26620.0,40.37,1.0,0.0,1802.0
4912,44640,16845.0,27795.0,37.74,2.0,130.0,1538.0
9201,44640,15376.0,29264.0,34.44,1.0,0.0,993.0
