Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
15213,44640,44631.0,9.0,99.98,1.0,0.0,4742.0
24823,44640,44520.0,120.0,99.73,1.0,0.0,5194.0
9407,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
4411,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
8701,44640,44340.0,300.0,99.33,2.0,1084.0,4040.0
4908,44640,44340.0,300.0,99.33,2.0,1084.0,4040.0
4912,44640,44337.0,303.0,99.32,2.0,2344.0,5567.0
9410,44640,44337.0,303.0,99.32,2.0,1649.0,5463.0
9201,44640,44330.0,310.0,99.31,2.0,1581.0,3881.0
9202,44640,44332.0,308.0,99.31,2.0,478.0,2828.0
75229,44640,44329.0,311.0,99.3,2.0,331.0,4637.0
9404,44640,44327.0,313.0,99.3,2.0,1076.0,3555.0
9701,44640,44325.0,315.0,99.29,2.0,1152.0,2935.0
8602,44640,44316.0,324.0,99.27,2.0,492.0,2856.0
4416,44640,44026.0,614.0,98.62,3.0,2730.0,5568.0
9413,44640,42996.0,1644.0,96.32,2.0,1381.0,2870.0
75202,44640,41225.0,3415.0,92.35,1.0,0.0,4810.0
4415,44640,40017.0,4623.0,89.64,2.0,1165.0,4960.0
24818,44640,37792.0,6848.0,84.66,2.0,700.0,4724.0
9414,44640,37167.0,7473.0,83.26,2.0,850.0,2444.0
14802,44640,36654.0,7986.0,82.11,2.0,1191.0,4252.0
4406,44640,36248.0,8392.0,81.2,2.0,251.0,3873.0
4407,44640,36163.0,8477.0,81.01,1.0,0.0,2486.0
4921,44640,36134.0,8506.0,80.95,1.0,0.0,2484.0
4802,44640,31730.0,12910.0,71.08,1.0,0.0,3371.0
9411,44640,31730.0,12910.0,71.08,1.0,0.0,3371.0
9409,44640,31730.0,12910.0,71.08,1.0,0.0,3371.0
9408,44640,31730.0,12910.0,71.08,1.0,0.0,3370.0
75207,44640,30140.0,14500.0,67.52,1.0,0.0,3014.0
14806,44640,29536.0,15104.0,66.16,1.0,0.0,3692.0
9804,44640,29536.0,15104.0,66.16,1.0,0.0,3692.0
9802,44640,29536.0,15104.0,66.16,1.0,0.0,3692.0
24824,44640,29478.0,15162.0,66.03,1.0,0.0,3439.0
15208,44640,29373.0,15267.0,65.8,2.0,516.0,2577.0
4902,44640,28935.0,15705.0,64.82,2.0,1278.0,3187.0
8603,44640,28080.0,16560.0,62.9,1.0,0.0,1872.0
4413,44640,27342.0,17298.0,61.25,2.0,837.0,2305.0
24808,44640,26592.0,18048.0,59.57,1.0,0.0,3324.0
75205,44640,25542.0,19098.0,57.22,1.0,0.0,2820.0
54803,44640,25296.0,19344.0,56.67,1.0,0.0,3162.0
54804,44640,25296.0,19344.0,56.67,1.0,0.0,3162.0
75230,44640,25296.0,19344.0,56.67,1.0,0.0,3162.0
75220,44640,23341.0,21299.0,52.29,1.0,0.0,2723.0
75226,44640,22767.0,21873.0,51.0,2.0,148.0,1837.0
54802,44640,22640.0,22000.0,50.72,1.0,0.0,2830.0
4401,44640,22542.0,22098.0,50.5,1.0,0.0,2630.0
4409,44640,22542.0,22098.0,50.5,1.0,0.0,2630.0
4404,44640,22542.0,22098.0,50.5,1.0,0.0,2630.0
9503,44640,22542.0,22098.0,50.5,1.0,0.0,2630.0
9502,44640,22542.0,22098.0,50.5,1.0,0.0,2630.0
75212,44640,22400.0,22240.0,50.18,1.0,0.0,2240.0
75216,44640,22400.0,22240.0,50.18,1.0,0.0,2240.0
75222,44640,22400.0,22240.0,50.18,1.0,0.0,2240.0
75223,44640,22400.0,22240.0,50.18,1.0,0.0,2240.0
15209,44640,22287.0,22353.0,49.93,1.0,0.0,2600.0
15212,44640,21552.0,23088.0,48.28,2.0,222.0,2400.0
24806,44640,21490.0,23150.0,48.14,2.0,2.0,2686.0
54801,44640,21440.0,23200.0,48.03,1.0,0.0,2680.0
14810,44640,20601.0,24039.0,46.15,1.0,0.0,1545.0
14808,44640,20601.0,24039.0,46.15,1.0,0.0,1545.0
75227,44640,20601.0,24039.0,46.15,1.0,0.0,1545.0
9402,44640,20274.0,24366.0,45.42,2.0,278.0,2592.0
9506,44640,19602.0,25038.0,43.91,1.0,0.0,2165.0
9203,44640,19602.0,25038.0,43.91,1.0,0.0,2165.0
9505,44640,19602.0,25038.0,43.91,1.0,0.0,2165.0
9507,44640,19566.0,25074.0,43.83,1.0,0.0,2161.0
4917,44640,19137.0,25503.0,42.87,2.0,284.0,1199.0
14803,44640,17904.0,26736.0,40.11,1.0,0.0,2238.0
24804,44640,17904.0,26736.0,40.11,1.0,0.0,2238.0
24803,44640,17904.0,26736.0,40.11,1.0,0.0,2238.0
15202,44640,17480.0,27160.0,39.16,1.0,0.0,1748.0
14811,44640,16900.0,27740.0,37.86,1.0,0.0,1690.0
75210,44640,16900.0,27740.0,37.86,1.0,0.0,1690.0
75217,44640,16900.0,27740.0,37.86,1.0,0.0,1690.0
75219,44640,16900.0,27740.0,37.86,1.0,0.0,1690.0
15204,44640,16860.0,27780.0,37.77,2.0,146.0,2248.0
9405,44640,15270.0,29370.0,34.21,1.0,0.0,2036.0
9406,44640,15270.0,29370.0,34.21,1.0,0.0,2036.0
9504,44640,15240.0,29400.0,34.14,1.0,0.0,2032.0
14813,44640,15201.0,29439.0,34.05,2.0,47.0,2008.0
14801,44640,14670.0,29970.0,32.86,1.0,0.0,1956.0
15207,44640,14670.0,29970.0,32.86,1.0,0.0,1956.0
24819,44640,14655.0,29985.0,32.83,1.0,0.0,1954.0
24814,44640,14464.0,30176.0,32.4,1.0,0.0,1808.0
15203,44640,14464.0,30176.0,32.4,1.0,0.0,1808.0
15211,44640,14464.0,30176.0,32.4,1.0,0.0,1808.0
14807,44640,14432.0,30208.0,32.33,1.0,0.0,1804.0
15206,44640,14394.0,30246.0,32.24,2.0,2.0,1590.0
24821,44640,14384.0,30256.0,32.22,1.0,0.0,1798.0
24812,44640,14364.0,30276.0,32.18,1.0,0.0,1586.0
75208,44640,14364.0,30276.0,32.18,1.0,0.0,1586.0
15210,44640,14364.0,30276.0,32.18,1.0,0.0,1586.0
14805,44640,14364.0,30276.0,32.18,1.0,0.0,1587.0
24805,44640,14355.0,30285.0,32.16,1.0,0.0,1914.0
75214,44640,14269.0,30371.0,31.96,1.0,0.0,1516.0
75221,44640,14269.0,30371.0,31.96,1.0,0.0,1516.0
75225,44640,14025.0,30615.0,31.42,1.0,0.0,1870.0
75228,44640,13780.0,30860.0,30.87,1.0,0.0,1378.0
8606,44640,13275.0,31365.0,29.74,2.0,130.0,891.0
9412,44640,11431.0,33209.0,25.61,2.0,49.0,729.0
4923,44640,11129.0,33511.0,24.93,1.0,0.0,719.0
9702,44640,11129.0,33511.0,24.93,1.0,0.0,719.0
4417,44640,11007.0,33633.0,24.66,2.0,46.0,723.0
4405,44640,10846.0,33794.0,24.3,1.0,0.0,746.0
4403,44640,10846.0,33794.0,24.3,1.0,0.0,746.0
4402,44640,10846.0,33794.0,24.3,1.0,0.0,746.0
75203,44640,10234.0,34406.0,22.93,2.0,214.0,1336.0
9001,44640,9850.0,34790.0,22.07,2.0,5.0,641.0
14804,44640,9776.0,34864.0,21.9,1.0,0.0,1222.0
4414,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
4919,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
9002,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
4412,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
4410,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
9401,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
4918,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
8605,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
8604,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
4925,44640,9765.0,34875.0,21.88,1.0,0.0,631.0
