SKUCode,Quantity,Priority
1225119015010QSTL0,1699,2.0023770325757644
1225121715115SSTL0,5258,2.0080708689553224
1225121716010SXC10,1888,4.0027959361545085
1225121Z14112LSTL0,1686,2.0025071949622872
1225170015010LSTL0,3260,4.009167960591903
1225170015012LSTL0,26777,4.078871642589944
1225219015008SLTB0,260,3.0004291557739347
1225219015010QSTL0,1768,2.0040091794242345
1225220Z16008RXC10,20,3.0000275131992646
1225221715115SSTL0,11235,4.023683107682023
1225221716010SXC10,21,4.001815515513641
1225222615008RXC10,92,3.0001280303035975
1225222716121MXC11,1074,2.0015017796274632
1225223516121PSKP0,9757,4.021375037406819
1325114613071TTMX0,2,2.0002108985298093
1325114812074TUHL0,11106,2.0283621364109923
1325119015008SRBT0,5777,2.0113503461214655
1325119815106QBRQ0,3758,4.011821348565372
1325121715100SBRT0,2821,2.0085120124941955
1325121715100SRBT0,4935,2.0069613158484048
1325121715100SRXT0,3578,2.0068954018645377
1325121715115SLTB0,1485,2.006974465545289
1325123715105SBRT0,7293,2.01142982800445
1325123715105SRXT0,875,2.0012236359511735
1325213612065SULX1,60,4.003150575235382
1325213615099MSXT0,3153,4.008926854107322
1325214613071TTMX0,23,2.0041167031992573
1325214812074TUHL0,21588,2.0351793898372623
1325214813075STMX0,2500,2.0055950970681713
1325214813075SUNE1,23118,4.076458013340683
1325215513073TUHL0,1609,2.0082944267012617
1325215613075TTMX0,649,2.006817031871267
1325215613075TUHL0,5352,2.01291597235131
1325215813079STMX0,8853,3.021286701643309
1325215813079SUHL0,8046,2.0163565437221354
1325216513077TUHL0,3091,2.0043234006887647
1325216514079TTMX0,3411,3.0075578818564437
1325216614081STMX0,11627,2.025182960711122
1325216614081SUTR0,1349,2.008207035662795
1325216814085STMX0,13206,2.0274588570447607
1325216814085SUTR0,5055,2.007074407779821
1325216814085TURL0,4492,3.0094373252748725
1325216814085TURS0,3,2.000425487461152
1325217413077TUSP0,817,2.0071612939848733
1325217514082HURP0,427,2.000597922671587
1325217514082TUTR0,4664,2.006817751269349
1325217613082TUNE2,2,3.0005936750673454
1325217614084HURL1,1399,2.0019571091960597
1325218515088HTMX0,10199,3.031926253728012
1325218515088HURP0,10,2.0006539018765235
1325218515088HUTR0,2,2.0069623621299795
1325218515088TURL0,1936,2.003006019420114
1325218515088TURS0,291,2.000407143773412
1325218614088HURL0,1588,3.00478888503263
1325219316087VURL0,6753,2.011264569107191
1325219316087VURP0,18,2.0008774971379784
1325219316087VUTR0,6944,2.010085240356906
1325219416089HRHE0,10081,4.024217682057079
1325220316091VURL1,1610,2.0027475602971316
1325220416092VURL0,556,2.00077848777176
1325220515094VTMX0,880,3.0032578180200034
1325220515094VURL1,93,3.0001303899789797
1325220515094VUTR0,4130,2.008534910734942
1325220516095HTMX0,693,3.003558365148428
1325220516095HUTR0,7673,2.0110846148211303
1325221317098VUX10,4,2.000005470932528
1325221416095VURL0,2177,3.0207554720511554
1325221416095VURS0,300,2.000419722074696
1325221417100HURL1,11236,2.0253210176620335
1325221417100HURS0,295,2.0004128814303352
1325221715100SRHT0,11065,2.028658646608479
1325221715100SRXT0,2321,2.0056174720012745
1325222317101VUX10,4,3.0002470968180703
1325222417099HURL0,345,3.002901038443207
1325223517104HRHT0,4215,3.010949287449822
1325223517104HRPG0,11,2.000824709058402
1325223616105HRHT0,2874,2.0040205927406833
1325223715105SRXT0,1939,2.004539110657832
1325223916120QRAB0,1127,3.001607200231301
1325226517112HRHT0,3161,3.004422693011223
1425118916008QRBT0,3969,2.0123175649865086
1D25212812074FXC10,14067,4.03291929537957
1D25212812086FXPC0,19744,4.039142405888011
1D25213812090FXPC0,19846,4.042841333396347
1D25214012006QXC10,502,2.0007026317975347
1D25215Z13008QXPC0,8022,4.015487567769747
1325217613082TUNE0,9328,2.00137517932327
1325119815106QBRQ0,4522,2.00371179323278
1325217514082HURL2,12057,5.0
