SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325214813075SUNE1,4.08026677758076,41927,227,41940,0,100.0,FULLY MET,15,86,7.04,
1D25213812090FXPC0,4.044803455849624,26470,255,26191,279,98.9,PARTIAL,17,43,5.04,
1D25212812086FXPC0,4.040133388790379,24502,332,24666,0,100.7,FULLY MET,19,37,5.21,
1D25212812074FXC10,4.034149865370723,19500,331,19380,120,99.4,PARTIAL,18,43,3.93,
1225170015012LSTL0,4.025539429230242,45834,395,45889,0,100.1,FULLY MET,31,71,15.91,
1325119815106QBRQ0,4.0124048656261175,6577,70,6560,17,99.7,PARTIAL,29,71,2.14,
1325219416089HRHE0,4.0102157716920965,14578,0,14578,0,100.0,FULLY MET,16,82,2.61,
1225170015010LSTL0,4.00948607371409,5114,113,5122,0,100.2,FULLY MET,31,71,1.78,
1225223516121PSKP0,4.00948607371409,13477,153,13607,0,101.0,FULLY MET,27,56,4.08,
1325213615099MSXT0,4.009194194522887,5241,0,5242,0,100.0,FULLY MET,16,75,0.94,
1225221715115SSTL0,4.0080266777580755,14961,158,14946,15,99.9,PARTIAL,30,71,5.03,
1D25215Z13008QXPC0,4.007296979780069,10201,0,10202,0,100.0,FULLY MET,20,119,2.29,
1325217514082TVECH,4.001198164079887,3,3,6,0,200.0,FULLY MET,18,71,0.0,
1225221716010SXC10,4.00102157716921,1300,0,1300,0,100.0,FULLY MET,15,56,0.22,
1225121716010SXC10,4.0005837583824055,1941,0,1942,0,100.1,FULLY MET,15,56,0.33,
1325213612065SULX1,4.0,408,131,408,0,100.0,FULLY MET,16,75,0.07,
1325216814085TURL0,3.002539348963464,5913,0,5914,0,100.0,FULLY MET,15,119,0.99,
1325223916120QRAB0,3.001692899308976,1160,0,1160,0,100.0,FULLY MET,31,43,0.4,
1325226517112HRHT0,3.0009923892500896,3077,0,3078,0,100.0,FULLY MET,17,43,0.59,
1225221615008QXC10,3.0008975285129487,93,151,95,0,102.2,FULLY MET,27,82,0.03,
1325217613082TUNE2,3.0006173244893937,1,185,2,0,200.0,FULLY MET,15,129,0.0,
1225219015008SLTB0,3.000437818786804,300,0,300,0,100.0,FULLY MET,27,71,0.09,
1325218515088HTMX0,3.000437818786804,17005,136,17010,0,100.0,FULLY MET,16,82,3.05,
1325218614088HURL0,3.0002918791912028,2761,0,2739,22,99.2,PARTIAL,17,125,0.53,
1325220515094VTMX0,3.000145939595601,1916,0,1904,12,99.4,PARTIAL,18,108,0.39,
1325216514079TTMX0,3.000145939595601,4575,0,4538,37,99.2,PARTIAL,17,82,0.87,
1225222615008RXC10,3.0001357238239095,93,0,94,0,101.1,FULLY MET,27,82,0.03,
1325220515094VURL1,3.0001357238239095,93,1,94,0,101.1,FULLY MET,18,108,0.02,
1325217514082TTMX0,3.000102157716921,3262,298,3234,28,99.1,PARTIAL,17,132,0.62,
1325220516095HTMX0,3.0000729697978006,2103,0,2104,0,100.0,FULLY MET,15,82,0.35,
1325223517104HRHT0,3.0000437818786803,6530,38,6592,0,100.9,FULLY MET,19,82,1.39,
1325215813079STMX0,3.0000437818786803,12366,15,12366,0,100.0,FULLY MET,16,129,2.22,
1325222417099HURL0,3.0000437818786803,1488,0,1476,12,99.2,PARTIAL,17,82,0.28,
1225220Z16008RXC10,3.0000291879191203,20,0,20,0,100.0,FULLY MET,27,108,0.01,
1325220416092VURP0,3.000016053355516,11,0,12,0,109.1,FULLY MET,15,82,0.0,
1325221416095VURL0,3.00000729697978,9743,51,9744,0,100.0,FULLY MET,16,108,1.75,
1325214812074TUHL0,2.036484898900345,24055,0,24040,15,99.9,PARTIAL,15,43,4.04,
1325216814085STMX0,2.029187919120276,17295,256,17251,44,99.7,PARTIAL,16,132,3.1,
1325221715100SRHT0,2.029187919120276,16069,96,15970,99,99.4,PARTIAL,18,82,3.24,
1325114812074TUHL0,2.029187919120276,16172,148,16176,0,100.0,FULLY MET,15,43,2.72,
1325216614081STMX0,2.0262691272082485,15333,147,15336,0,100.0,FULLY MET,16,86,2.75,
1325221417100HURL1,2.0262691272082485,15144,325,15144,0,100.0,FULLY MET,20,82,3.39,
1325215813079SUHL0,2.017512751472166,10874,0,10876,0,100.0,FULLY MET,16,129,1.95,
1325215613075TUHL0,2.013426442795327,7965,0,7966,0,100.0,FULLY MET,15,129,1.34,
1425118916008QRBT0,2.013134563604124,6996,161,6940,56,99.2,PARTIAL,28,71,2.19,
1325220516095HUTR0,2.0116751676481104,8000,0,8000,0,100.0,FULLY MET,19,82,1.7,
1325119015008SRBT0,2.0116751676481104,7061,0,7052,9,99.9,PARTIAL,29,71,2.29,
1325219316087VURL0,2.0116751676481104,8000,0,7944,56,99.3,PARTIAL,16,86,1.43,
1325123715105SBRT0,2.0116751676481104,7487,0,7428,59,99.2,PARTIAL,21,71,1.76,
1325219316087VUTR0,2.0102157716920965,7000,0,6946,54,99.2,PARTIAL,17,82,1.33,
1325220515094VUTR0,2.008899396539772,5276,0,5219,57,98.9,PARTIAL,17,108,1.0,
1325215513073TUHL0,2.0088366425136637,4261,39,4262,0,100.0,FULLY MET,16,129,0.76,
1325121715100SBRT0,2.0087563757360827,4632,12,4660,0,100.6,FULLY MET,21,71,1.09,
1325216614081SUTR0,2.008560816677977,3970,89,3972,0,100.1,FULLY MET,15,86,0.67,
1225121715115SSTL0,2.0082718562786863,5668,0,5620,48,99.2,PARTIAL,30,71,1.9,
1325216814085SUTR0,2.0075611304481074,5181,0,5128,53,99.0,PARTIAL,17,82,0.99,
1325217514082TUTR0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,17,119,0.95,
1325217413077TUSP0,2.007296979780069,3212,121,3212,0,100.0,FULLY MET,16,75,0.58,
1325121715100SRBT0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,15,71,0.84,
1325121715100SRXT0,2.007296979780069,4642,0,4642,0,100.0,FULLY MET,20,108,1.04,
1325215613075TTMX0,2.007296979780069,3236,228,3236,0,100.0,FULLY MET,16,129,0.58,
1325121715115SLTB0,2.007296979780069,3551,62,3540,11,99.7,PARTIAL,29,71,1.15,
1325218515088HUTR0,2.007186065687412,2440,56,2419,21,99.1,PARTIAL,17,114,0.46,
1325217415081HUTR0,2.0058375838240554,2218,39,2220,0,100.1,FULLY MET,16,82,0.4,
1325221715100SRXT0,2.0058375838240554,3298,0,3298,0,100.0,FULLY MET,20,108,0.74,
1325214813075STMX0,2.0056726720810256,3641,0,3642,0,100.0,FULLY MET,16,129,0.65,
1325223715105SRXT0,2.004751793232781,2928,0,2928,0,100.0,FULLY MET,20,108,0.66,
1325216513077TUHL0,2.0043854848478215,3005,0,3006,0,100.0,FULLY MET,16,129,0.54,
1325214613071TTMX0,2.004252679815824,1054,89,1056,0,100.2,FULLY MET,15,129,0.18,
1225219015010QSTL0,2.00423224827244,2444,0,2447,0,100.1,FULLY MET,31,26,0.85,
1325223616105HRHT0,2.004154900286771,2847,0,2848,0,100.0,FULLY MET,18,82,0.57,
1325218515088TURL0,2.0031172697620456,2136,0,2136,0,100.0,FULLY MET,16,108,0.38,
1325220316091VURL1,2.0029246294958516,2004,0,2004,0,100.0,FULLY MET,16,82,0.36,
1225121Z14112LSTL0,2.0026298315127367,1802,0,1768,34,98.1,PARTIAL,33,71,0.67,
1225119015010QSTL0,2.0024853513130916,1703,0,1704,0,100.1,FULLY MET,31,26,0.59,
1325218415084TTMX0,2.0022722795035133,11,90,12,0,109.1,FULLY MET,17,86,0.0,
1325217614084HURL1,2.002012507023343,1379,0,1380,0,100.1,FULLY MET,16,125,0.25,
1225222716121MXC11,2.001574688236539,1079,0,1080,0,100.1,FULLY MET,34,26,0.41,
1325123715105SRXT0,2.001313456360412,900,0,900,0,100.0,FULLY MET,20,108,0.2,
1325220416092VURL0,2.0008143429434555,558,0,558,0,100.0,FULLY MET,18,112,0.11,
1D25115013008QXPC0,2.0007997489838956,1,151,2,0,200.0,FULLY MET,20,119,0.0,
1D25214012006QXC10,2.0007296979780067,500,0,500,0,100.0,FULLY MET,18,37,0.1,
1325217514082HURP0,2.000614405697482,421,0,422,0,100.2,FULLY MET,16,125,0.08,
1325221417100HURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325221416095VURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325218515088TURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,108,0.05,
1325217515084HURP0,2.00021599060149,148,0,148,0,100.0,FULLY MET,15,118,0.02,
