Date,Machine,SKUCode,StartTime,EndTime,Qty,factor,Actual_Qty
2026-05-28,14801,1D25215013008SXC11,2026-05-28 07:00:00,2026-05-28 15:00:00,51,0.007055116735312791,51
2026-05-28,14801,1D25215013008SXC11,2026-05-28 15:00:00,2026-05-28 23:00:00,51,0.007055116735312791,51
2026-05-28,14801,1D25215013008SXC11,2026-05-28 23:00:00,2026-05-29 07:00:00,51,0.007055116735312791,51
2026-05-28,14802,1325216814085TURL0,2026-05-28 07:00:00,2026-05-28 07:15:00,2,0.0032382215910906876,2
2026-05-28,14803,1325215813079STMX0,2026-05-28 07:00:00,2026-05-28 15:00:00,60,0.01692326616658404,61
2026-05-28,14803,1325215813079STMX0,2026-05-28 15:00:00,2026-05-28 18:12:00,24,0.01692326616658404,24
2026-05-28,14803,1325215813079STMX0,2026-05-28 20:12:00,2026-05-28 23:00:00,21,0.01692326616658404,21
2026-05-28,14803,1325215813079STMX0,2026-05-28 23:00:00,2026-05-29 07:00:00,60,0.01692326616658404,61
2026-05-28,14804,1325219316087VUTR0,2026-05-28 07:00:00,2026-05-28 15:00:00,56,-0.03968018325600899,54
2026-05-28,14804,1325219316087VUTR0,2026-05-28 15:00:00,2026-05-28 23:00:00,56,-0.03968018325600899,54
2026-05-28,14804,1325219316087VUTR0,2026-05-28 23:00:00,2026-05-29 07:00:00,56,-0.03968018325600899,54
2026-05-28,14805,1325217514082TUTR0,2026-05-28 07:00:00,2026-05-28 15:00:00,56,-0.00042897123101553943,56
2026-05-28,14805,1325217514082TUTR0,2026-05-28 15:00:00,2026-05-28 23:00:00,56,-0.00042897123101553943,56
2026-05-28,14805,1325217514082TUTR0,2026-05-28 23:00:00,2026-05-29 07:00:00,56,-0.00042897123101553943,56
2026-05-28,14806,1325216814085STMX0,2026-05-28 07:00:00,2026-05-28 15:00:00,60,-0.012942605218159877,59
2026-05-28,14806,1325216814085STMX0,2026-05-28 15:00:00,2026-05-28 23:00:00,60,-0.012942605218159877,59
