SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325218515088HURL1,5.0,3942,0,3918,24,99.4,PARTIAL,17,112,0.75,
1D25213812090FXPC0,4.040789909788519,3685,255,3664,21,99.4,PARTIAL,17,43,0.7,
1D25212812086FXPC0,4.038906121462909,5863,332,5921,0,101.0,FULLY MET,19,37,1.25,
1D25212812074FXC10,4.0317291273066225,2153,331,2143,10,99.5,PARTIAL,18,43,0.43,
1225221715115SSTL0,4.022485511521031,2469,158,2476,0,100.3,FULLY MET,30,71,0.83,
1225223516121PSKP0,4.021329671845328,1561,153,1584,0,101.5,FULLY MET,27,56,0.47,
1D25215Z13008QXPC0,4.014757925207688,252,0,256,0,101.6,FULLY MET,20,119,0.06,
1325215813079STMX0,3.020572316747183,767,15,768,0,100.1,FULLY MET,16,129,0.14,
1325216814085TURL0,3.009278977640785,2,0,4,0,200.0,FULLY MET,15,119,0.0,
1325223916120QRAB0,3.0015439236029446,181,0,182,0,100.6,FULLY MET,31,43,0.06,
1325214812074TUHL0,2.033471348076857,9755,0,9766,0,100.1,FULLY MET,15,43,1.64,
1325114812074TUHL0,2.0281480547157074,253,148,254,0,100.4,FULLY MET,15,43,0.04,
1325216814085STMX0,2.027313264143594,3248,256,3248,0,100.0,FULLY MET,16,132,0.58,
1325216614081STMX0,2.024360434941433,2717,147,2718,0,100.0,FULLY MET,16,86,0.49,
1325221417100HURL1,2.023937741186665,2266,325,2270,0,100.2,FULLY MET,20,82,0.51,
1325215813079SUHL0,2.0154479184195853,1723,0,1726,0,100.2,FULLY MET,16,129,0.31,
1325215613075TUHL0,2.012620305794295,2,0,4,0,200.0,FULLY MET,15,129,0.0,
1325123715105SBRT0,2.0113025552035637,3023,0,3045,0,100.7,FULLY MET,21,71,0.71,
1325219316087VURL0,2.0112471426497858,959,0,960,0,100.1,FULLY MET,16,86,0.17,
1325119015008SRBT0,2.010688067111808,1411,0,1411,0,100.0,FULLY MET,29,71,0.46,
1325220516095HUTR0,2.0106640545246948,3009,0,3035,0,100.9,FULLY MET,19,82,0.64,
1325219316087VUTR0,2.009610047738301,2554,0,2538,16,99.4,PARTIAL,17,82,0.49,
1325220515094VUTR0,2.0084720182695057,1285,0,1276,9,99.3,PARTIAL,17,108,0.24,
1225121715115SSTL0,2.007863449346016,2280,0,2280,0,100.0,FULLY MET,30,71,0.77,
1325216814085SUTR0,2.0070021484862792,2327,0,2308,19,99.2,PARTIAL,17,82,0.44,
1325121715100SRBT0,2.006746372084458,1171,0,1174,0,100.3,FULLY MET,15,71,0.2,
1325121715100SRXT0,2.0066075545704996,1091,0,1092,0,100.1,FULLY MET,20,108,0.24,
1325217514082TUTR0,2.006427701083305,2057,0,2044,13,99.4,PARTIAL,17,119,0.39,
1325214813075STMX0,2.005547573985837,2,0,2,0,100.0,FULLY MET,16,129,0.0,
1D25215013008SXC11,2.00537517932327,10716,182,10834,0,101.1,FULLY MET,19,82,2.28,
1325221715100SRXT0,2.0053679278184044,125,0,126,0,100.8,FULLY MET,20,108,0.03,
1325216513077TUHL0,2.0040865750505668,815,0,816,0,100.1,FULLY MET,16,129,0.15,
1325223616105HRHT0,2.0039037772080084,1114,0,1107,7,99.4,PARTIAL,18,82,0.22,
1225219015010QSTL0,2.003783396190748,305,0,306,0,100.3,FULLY MET,31,26,0.11,
1225121Z14112LSTL0,2.00249186301412,1002,0,999,3,99.7,PARTIAL,33,71,0.37,
1225119015010QSTL0,2.0023393049110405,873,0,875,0,100.2,FULLY MET,31,26,0.3,
1225222716121MXC11,2.0014885665564206,1096,0,1096,0,100.0,FULLY MET,34,26,0.42,
1325217613082TUNE0,2.00137517932327,7206,86,7190,16,99.8,PARTIAL,15,71,1.21,
1325220416092VURL0,2.0007690220290724,566,0,566,0,100.0,FULLY MET,18,112,0.11,
1325216814085TURS0,2.0004218365207995,10,0,10,0,100.0,FULLY MET,15,82,0.0,
1325221417100HURS0,2.0003991860367747,294,0,294,0,100.0,FULLY MET,15,82,0.05,
1325221416095VURS0,2.0003969759510705,292,0,292,0,100.0,FULLY MET,15,82,0.05,
1325114613071TTMX0,2.000209677118771,3,0,4,0,133.3,FULLY MET,15,129,0.0,
1325221317098VUX10,2.0000052367146477,4,0,4,0,100.0,FULLY MET,17,82,0.0,
