SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325121715100SRXT0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,20,108,1.12,
1325217514082TUTR0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,17,119,0.95,
1325217413077TUSP0,2.007296979780069,5000,121,5000,0,100.0,FULLY MET,16,75,0.9,
1325215613075TTMX0,2.007296979780069,5000,228,5000,0,100.0,FULLY MET,16,129,0.9,
1325121715115SLTB0,2.007296979780069,5000,62,4987,13,99.7,PARTIAL,29,71,1.62,
1325218515088HUTR0,2.007186065687412,4924,56,4882,42,99.1,PARTIAL,17,114,0.94,
1325217415081HUTR0,2.0058375838240554,4000,39,4000,0,100.0,FULLY MET,16,82,0.72,
1325221715100SRXT0,2.0058375838240554,4000,0,4000,0,100.0,FULLY MET,20,108,0.9,
1325214813075STMX0,2.0056726720810256,3887,0,3792,95,97.6,PARTIAL,16,129,0.7,
1325223715105SRXT0,2.004751793232781,3256,0,3256,0,100.0,FULLY MET,20,108,0.73,
1325216513077TUHL0,2.0043854848478215,3005,0,2928,77,97.4,PARTIAL,16,129,0.54,
1325214613071TTMX0,2.0042526798158242,2914,89,2916,0,100.1,FULLY MET,15,129,0.49,
1225219015010QSTL0,2.00423224827244,2900,0,2814,86,97.0,PARTIAL,31,26,1.01,
1325223616105HRHT0,2.004154900286771,2847,0,2820,27,99.1,PARTIAL,18,82,0.57,
1325218515088TURL0,2.0031172697620456,2136,0,1936,200,90.6,PARTIAL,16,108,0.38,
1325220316091VURL1,2.0029246294958516,2004,0,2004,0,100.0,FULLY MET,16,82,0.36,
1225121Z14112LSTL0,2.0026298315127367,1802,0,1704,98,94.6,PARTIAL,33,71,0.67,
1225119015010QSTL0,2.0024853513130916,1703,0,1442,261,84.7,PARTIAL,31,26,0.59,
1325218415084TTMX0,2.0022722795035133,1557,90,1546,11,99.3,PARTIAL,17,86,0.3,
1325217614084HURL1,2.002012507023343,1379,0,1380,0,100.1,FULLY MET,16,125,0.25,
1225222716121MXC11,2.001574688236539,1079,0,900,179,83.4,PARTIAL,34,26,0.41,
1325123715105SRXT0,2.0013134563604122,900,0,900,0,100.0,FULLY MET,20,108,0.2,
1325219316087VURP0,2.0008887721372126,609,0,610,0,100.2,FULLY MET,16,82,0.11,
1325223517104HRPG0,2.000844990258532,579,0,580,0,100.2,FULLY MET,15,82,0.1,
1325220416092VURL0,2.0008143429434555,558,0,558,0,100.0,FULLY MET,18,112,0.11,
1D25115013008QXPC0,2.0007997489838956,548,151,550,0,100.4,FULLY MET,20,119,0.12,
1D25214012006QXC10,2.0007296979780067,500,0,372,128,74.4,PARTIAL,18,37,0.1,
1325218515088HURP0,2.000665484555942,456,0,456,0,100.0,FULLY MET,17,118,0.09,
1325217514082HURP0,2.000614405697482,421,0,422,0,100.2,FULLY MET,16,125,0.08,
1325216814085TURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325221416095VURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325218515088TURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,108,0.05,
1325221417100HURS0,2.000437818786804,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325217515084HURP0,2.00021599060149,148,0,148,0,100.0,FULLY MET,15,118,0.02,
1325114613071TTMX0,2.00021599060149,148,0,148,0,100.0,FULLY MET,15,129,0.02,
1325221317098VUX10,2.000005837583824,4,0,4,0,100.0,FULLY MET,17,82,0.0,
