Machine,SKUCode,Priority,CycleTime_min,Cycles,Units_Planned,Mins_Used,Days_Used
15201,1325121715100SRXT0,2.0073,20,16,32,320,0.22
75210,1325217514082TUTR0,2.0073,17,68,136,1156,0.8
14809,1325214813075STMX0,2.0057,16,19,38,304,0.21
15201,1325223715105SRXT0,2.0048,20,16,32,320,0.22
24808,1325216513077TUHL0,2.0044,16,75,150,1200,0.83
14809,1325223616105HRHT0,2.0042,18,51,102,918,0.64
14811,1325218515088TURL0,2.0031,16,20,40,320,0.22
4924,1225121Z14112LSTL0,2.0026,33,55,110,1815,1.26
15201,1325123715105SRXT0,2.0013,20,61,122,1220,0.85
75210,1325221416095VURS0,2.0004,15,40,80,600,0.42
14811,1325221417100HURS0,2.0004,15,60,120,900,0.62
24817,1325221317098VUX10,2.0,17,2,4,34,0.02
