MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
B1956515UXROYLGC02,"1325219515091VURL0, 1325219515091VURL1",3000,FREE
B1956515UXROYLHB01,"1325219515091VURL0, 1325219515091VURL1",3000,FREE
B1956515UXROYLHB02,"1325219515091VURL0, 1325219515091VURL1",3000,FREE
B1956515VECTRAMK01,"1325219515091HVEC0, 1325219515091VVEC0",3000,FREE
B1956515VECTRAMK02,"1325219515091HVEC0, 1325219515091VVEC0",3000,FREE
B1956515VECTRASY01,1325219515091HVEC0,3000,FREE
B1956515VECTRASY02,1325219515091HVEC0,3000,FREE
B1956515ZEPHYRSY01,1325219515091VZEP0,3000,FREE
B1956515ZEPHYRSY02,1325219515091VZEP0,3000,FREE
B1957014UL210SGC01,"1325119614095SU210, 1325219614095SU210",3000,FREE
B1957014UL210SGC02,"1325119614095SU210, 1325219614095SU210",3000,FREE
B1957014UL210SHM01,"1325119614095SU210, 1325219614095SU210",3000,FREE
B1957014UL210SHM02,"1325119614095SU210, 1325219614095SU210",3000,FREE
B1957015TORNADDC05,1325119615092STOR0,3000,FREE
B1957015TORNADDC06,1325119615092STOR0,3000,FREE
B1957015TORNADDC07,1325119615092STOR0,3000,FREE
B1957015TORNADDC08,1325119615092STOR0,3000,FREE
B1958015BRTLTHMI01,"1325119815106QBRQ0, 1325119815106QBRU0, 1325119815106RBRU0",2495,4403
B1958015BRTLTHMI02,"1325119815106QBRQ0, 1325119815106QBRU0",2512,4405
B1958015BRTLTHMI03,1325119815106QBRQ0,2512,4405
B1958015BRULTBHM01,1225219015008SLTB0,3000,FREE
B1958015BRULTBHM02,1225219015008SLTB0,3000,FREE
B1958015BRUTLTHM01,"1325119015008SRBT0, 1325219015008SRBT0",3000,FREE
B1958015BRUTLTHM02,"1325119015008SRBT0, 1325219015008SRBT0",3000,FREE
B1958015BRUTLTHM03,"1325119815106QBRQ0, 1325119815106QBRU0",3000,FREE
B1958015BRUTLTHM04,1325119815106QBRQ0,2541,9414
B1958015BRUTLTHM05,1325119815106QBRQ0,2541,9414
B1958015BRUTLTHM06,1325119815106QBRQ0,3000,FREE
B1958015BRUTLTHM07,1325119815106QBRQ0,2495,4403
B1958015BRUTLTHM08,"1225119015008QBRUM, 1325119815106QBRQ0",2490,4402
B1958015BRUTLTHM09,"1225119015008QBRUM, 1325119815106QBRQ0",2490,4402
B195R15STLKINGHM01,"1225119015010QSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKINGHM02,"1225119015010QSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI01,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI02,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI03,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI04,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI05,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B195R15STLKNGHMI06,"1225119015010QSTL0, 1225119015012NSTL0, 1225219015010QSTL0, 1225219015012NSTL0",3000,FREE
B20/54R13RCINGDC01,1F25202013054WZZZ0,3000,FREE
B20054013LEVEXGC01,"1F15220013540DLVX0, 1F15220013540WLVX0",3000,FREE
B20054013LEVEXGC02,"1F15220013540DLVX0, 1F15220013540WLVX0",3000,FREE
B205/60R16VECTMK02,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTMK03,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTMK04,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY02,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY03,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY04,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY07,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY08,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY09,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B205/60R16VECTSY10,"1325220416092HVEC0, 1325220416092VVEC0",3000,FREE
B20555R16UXRLHMI01,1325220316091VURL1,3000,FREE
B20555R16UXRLHMI02,1325220316091VURL1,3000,FREE
B20555R16UXRYLGC01,1325220316091VURL1,3000,FREE
B20555R16UXRYLGC02,1325220316091VURL1,3000,FREE
B20555R16UXRYLGC03,1325220316091VURL1,3000,FREE
B20555R16UXRYLGC04,1325220316091VURL1,3000,FREE
B2056013ZEPHYRSY01,1325220413087VZEP0,3000,FREE
B2056013ZEPHYRSY02,1325220413087VZEP0,3000,FREE
B20560R15ZPHYRSY01,1325220415091VZEP0,3000,FREE
