SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325223616105HRHT0,2.0040205927406833,2874,0,2874,0,100.0,FULLY MET,18,82,0.58,
1225219015010QSTL0,2.0040091794242345,1588,0,1590,0,100.1,FULLY MET,31,26,0.55,
1325119815106QBRQ0,2.00371179323278,3766,70,3754,12,99.7,PARTIAL,29,71,1.22,
1325218515088TURL0,2.003006019420114,1588,0,1588,0,100.0,FULLY MET,16,108,0.28,
1325220316091VURL1,2.0027475602971316,1262,0,1262,0,100.0,FULLY MET,16,82,0.23,
1225121Z14112LSTL0,2.0025071949622872,1686,0,1686,0,100.0,FULLY MET,33,71,0.62,
1225119015010QSTL0,2.0023770325757644,1699,0,1700,0,100.1,FULLY MET,31,26,0.59,
1325217614084HURL1,2.0019571091960597,1399,0,1400,0,100.1,FULLY MET,16,125,0.25,
1225222716121MXC11,2.0015017796274632,1074,0,1074,0,100.0,FULLY MET,34,26,0.41,
1325217613082TUNE0,2.00137517932327,9268,86,9268,0,100.0,FULLY MET,15,71,1.56,
1325123715105SRXT0,2.0012236359511735,875,0,876,0,100.1,FULLY MET,20,108,0.2,
1325219316087VURP0,2.0008774971379784,18,0,18,0,100.0,FULLY MET,16,82,0.0,
1325223517104HRPG0,2.000824709058402,11,0,12,0,109.1,FULLY MET,15,82,0.0,
1325220416092VURL0,2.00077848777176,556,0,556,0,100.0,FULLY MET,18,112,0.11,
1D25214012006QXC10,2.0007026317975347,502,0,502,0,100.0,FULLY MET,18,37,0.1,
1325218515088HURP0,2.0006539018765235,10,0,10,0,100.0,FULLY MET,17,118,0.0,
1325217514082HURP0,2.000597922671587,427,0,428,0,100.2,FULLY MET,16,125,0.08,
1325216814085TURS0,2.000425487461152,3,0,4,0,133.3,FULLY MET,15,82,0.0,
1325221416095VURS0,2.000419722074696,300,0,300,0,100.0,FULLY MET,15,82,0.05,
1325221417100HURS0,2.0004128814303352,295,0,296,0,100.3,FULLY MET,15,82,0.05,
1325218515088TURS0,2.000407143773412,291,0,292,0,100.3,FULLY MET,15,108,0.05,
1325114613071TTMX0,2.0002108985298093,2,0,2,0,100.0,FULLY MET,15,129,0.0,
1325221317098VUX10,2.000005470932528,4,0,4,0,100.0,FULLY MET,17,82,0.0,
