Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
4804,43200,43187.0,13.0,99.97,1.0,0.0,4588.0
4803,43200,43187.0,13.0,99.97,1.0,0.0,4588.0
4817,43200,43020.0,180.0,99.58,1.0,0.0,4570.0
4501,43200,35725.0,7475.0,82.7,2.0,1772.0,3574.0
4504,43200,18654.0,24546.0,43.18,2.0,942.0,1968.0
4510,43200,16085.0,27115.0,37.23,2.0,790.0,1610.0
4512,43200,15390.0,27810.0,35.62,2.0,795.0,1620.0
4842,43200,14992.0,28208.0,34.7,2.0,792.0,1676.0
4507,43200,12765.0,30435.0,29.55,1.0,0.0,1117.0
4503,43200,12052.0,31148.0,27.9,2.0,706.0,1496.0
4802,43200,10920.0,32280.0,25.28,1.0,0.0,1569.0
4801,43200,10920.0,32280.0,25.28,1.0,0.0,1569.0
4604,43200,10275.0,32925.0,23.78,1.0,0.0,814.0
5203,43200,10144.0,33056.0,23.48,1.0,0.0,1268.0
4843,43200,9531.0,33669.0,22.06,2.0,585.0,1254.0
3609,43200,7375.0,35825.0,17.07,2.0,315.0,706.0
6009,43200,4641.0,38559.0,10.74,1.0,0.0,542.0
4508,43200,4641.0,38559.0,10.74,1.0,0.0,542.0
4505,43200,4641.0,38559.0,10.74,1.0,0.0,542.0
4608,43200,4482.0,38718.0,10.38,1.0,0.0,495.0
4850,43200,3040.0,40160.0,7.04,1.0,0.0,323.0
5202,43200,2921.0,40279.0,6.76,1.0,0.0,256.0
4846,43200,2921.0,40279.0,6.76,1.0,0.0,256.0
4812,43200,2921.0,40279.0,6.76,1.0,0.0,256.0
5201,43200,2921.0,40279.0,6.76,1.0,0.0,256.0
4813,43200,2921.0,40279.0,6.76,1.0,0.0,255.0
4603,43200,2921.0,40279.0,6.76,1.0,0.0,256.0
4609,43200,2852.0,40348.0,6.6,1.0,0.0,249.0
4605,43200,1197.0,42003.0,2.77,1.0,0.0,127.0
