Date,Machine,SKUCode,StartTime,EndTime,Qty,factor,Actual_Qty
2026-04-03,4819,1325225518111HRHB0,2026-04-03 15:00:00,2026-04-03 23:00:00,53,-0.010433472546316781,52
2026-04-03,4819,1325225518111HRHB0,2026-04-03 23:00:00,2026-04-04 07:00:00,53,-0.010433472546316781,52
2026-04-03,4820,1325218614088TTMX0,2026-04-03 07:00:00,2026-04-03 15:00:00,64,-0.017875895712316202,63
2026-04-03,4820,1325218614088TTMX0,2026-04-03 15:00:00,2026-04-03 23:00:00,64,-0.017875895712316202,63
2026-04-03,4820,1325218614088TTMX0,2026-04-03 23:00:00,2026-04-04 07:00:00,64,-0.017875895712316202,63
2026-04-03,4821,1D25215013008SXC10,2026-04-03 07:00:00,2026-04-03 15:00:00,51,-0.011249441953940292,50
2026-04-03,4821,1D25215013008SXC10,2026-04-03 15:00:00,2026-04-03 23:00:00,51,-0.011249441953940292,50
2026-04-03,4821,1D25215013008SXC10,2026-04-03 23:00:00,2026-04-04 07:00:00,51,-0.011249441953940292,50
2026-04-03,4822,1325219515091HURL2,2026-04-03 07:00:00,2026-04-03 15:00:00,64,-0.04021421013106398,61
2026-04-03,4822,1325219515091HURL2,2026-04-03 15:00:00,2026-04-03 23:00:00,64,-0.04021421013106398,61
2026-04-03,4822,1325219515091HURL2,2026-04-03 23:00:00,2026-04-04 07:00:00,64,-0.04021421013106398,61
2026-04-03,4823,1D25215013008SXC10,2026-04-03 07:00:00,2026-04-03 15:00:00,51,-0.011249441953940292,50
2026-04-03,4823,1D25215013008SXC10,2026-04-03 15:00:00,2026-04-03 23:00:00,51,-0.011249441953940292,50
2026-04-03,4823,1D25215013008SXC10,2026-04-03 23:00:00,2026-04-04 07:00:00,51,-0.011249441953940292,50
2026-04-03,4824,1D25215013008SXC10,2026-04-03 07:00:00,2026-04-03 15:00:00,51,-0.011249441953940292,50
2026-04-03,4824,1D25215013008SXC10,2026-04-03 15:00:00,2026-04-03 23:00:00,51,-0.011249441953940292,50
2026-04-03,4824,1D25215013008SXC10,2026-04-03 23:00:00,2026-04-04 07:00:00,51,-0.011249441953940292,50
2026-04-03,4825,1D25215013008SXC10,2026-04-03 07:00:00,2026-04-03 15:00:00,51,-0.011249441953940292,50
2026-04-03,4825,1D25215013008SXC10,2026-04-03 15:00:00,2026-04-03 23:00:00,51,-0.011249441953940292,50
2026-04-03,4825,1D25215013008SXC10,2026-04-03 23:00:00,2026-04-04 07:00:00,51,-0.011249441953940292,50
2026-04-03,4826,1325217515084HURL2,2026-04-03 07:00:00,2026-04-03 15:00:00,64,-0.0006384234961565408,64
2026-04-03,4826,1325217515084HURL2,2026-04-03 15:00:00,2026-04-03 23:00:00,64,-0.0006384234961565408,64
2026-04-03,4826,1325217515084HURL2,2026-04-03 23:00:00,2026-04-04 07:00:00,64,-0.0006384234961565408,64
2026-04-03,4827,1325225518111HRHB0,2026-04-03 07:00:00,2026-04-03 15:00:00,53,-0.010433472546316781,52
2026-04-03,4827,1325225518111HRHB0,2026-04-03 15:00:00,2026-04-03 23:00:00,53,-0.010433472546316781,52
2026-04-03,4827,1325225518111HRHB0,2026-04-03 23:00:00,2026-04-04 07:00:00,53,-0.010433472546316781,52
2026-04-03,4828,1325217515084HURL2,2026-04-03 07:00:00,2026-04-03 15:00:00,64,-0.0006384234961565408,64
2026-04-03,4828,1325217515084HURL2,2026-04-03 15:00:00,2026-04-03 23:00:00,64,-0.0006384234961565408,64
2026-04-03,4828,1325217515084HURL2,2026-04-03 23:00:00,2026-04-04 07:00:00,64,-0.0006384234961565408,64
2026-04-03,4829,1325221417096HURL0,2026-04-03 07:00:00,2026-04-03 15:00:00,60,-0.01702326556998072,59
2026-04-03,4829,1325221417096HURL0,2026-04-03 15:00:00,2026-04-03 23:00:00,60,-0.01702326556998072,59
