SKUCode,Quantity,Priority
1D25215013008SXC10,8319,2.1690236729953947
1325221417096HURL0,4308,2.081552970088277
1325221318095HURL0,1879,2.05114465087278
1325225518111HRHB0,2805,2.043400466954008
1325217515084HURL2,55,2.0334886443920293
1D25216814008QXPC0,1132,2.0325409175349693
1D25215013008SXC1T,4507,2.030547257513861
1325222318098HRHE0,3872,2.013533575484146
1D25219Z14008SXC10,25,2.002560450141342
1325225518111HRAT1,362,2.001737878384286
1325223317103YLEV0,630,2.0014207497298107
1325223418103VETR0,498,2.001124159215128
1325219515091HURL2,1398,1.0472394232734692
1325224716111SELS0,11887,1.0350510174288767
1D25218014010RXPCT,3119,1.028934330010159
1325215813079TUNE5,3109,1.0263552206330473
1325221715100SRAT0,6580,1.015762623670578
1D25114012008QXPC0,779,1.0091779218378305
1325223616105TRAT0,3544,1.0079950487362364
1325215514075TUNE0,48,1.007481327391494
1325218514086HUTR0,3231,1.0072887979612353
1325220416092HRHT0,1,1.006747588427267
1325214812074TTMX0,17,1.0060226655096245
1D25118014010RXPC0,45,1.0049452260511305
1D25218Z14008QXPC0,115,1.0046330829376326
1325223517104TRXT0,1580,1.0035640772571208
1325214813075SUHL0,1450,1.0032715219435229
1325221516098HRHT0,1414,1.003191275810522
1325221416095VRHE1,1411,1.0031823777409845
1325223616109SELZ0,1192,1.0026887593958345
1325221416095VURP0,1170,1.0026407547568137
1325226517112HRHT1,330,1.0007440354589068
1325226617118QRMT0,225,1.0006783739904408
1325224716120NRMT0,173,1.0003892849725706
1325231015109QRMT0,1163,1.0043075954554537
1325223418103HRHP0,2027,1.004574291595174
1325215513073TUNE0,1919,2.0193638997979733
1325225518111HRAT0,1741,2.003932548778947
1325221317094VURL0,1583,1.0035715574968864
